sr. no,Description,skills/no-skills 
1423,postgresql postgis,1
1424,gis,0
1425,development,1
1426,web mapping applications,0
1427,interactive web based visualizations reporting tools,1
1428,dashboards,1
1429,collects,0
1430,analyzes,1
1431,data,1
1432,recommendations,0
1433,improvements,0
1434,existing divisional projects policies,0
1435,services,0
1436,monitors,0
1437,information,0
1438,traffic transportation networks,0
1439,problematic areas,0
1440,future needs,0
1442,process automation,0
1443,use,0
1444,programming languages,1
1445,tools,0
1446,develops,0
1447,performance,0
1448,transportation network,0
1449,collision diagrams,0
1450,flow maps graphs charts,0
1451,statistical reports,1
1452,circulation,0
1453,division,0
1454,evidence based policy analysis support,1
1455,broad range,0
1456,transportation topics,0
1457,issues,0
1458,economic business strategic infrastructure aspects processes cleans,0
1459,transportation data,0
1460,data collection,1
1461,analysis,1
1462,requests,0
1463,recommendations,0
1464,improvement,0
1465,pilot studies,0
1466,transportation data collection technologies software methodologies data management,0
1467,computer systems analyzes,1
1468,collision volume speed,0
1469,transportation datasets,0
1470,research,0
1471,transportation traffic big data data analytics data science machine learning data visualization,0
1472,smart cities topics,0
1473,order,0
1474,understanding,0
1475,best practices identifies,0
1476,monitors,0
1477,emerging transportation data sources,1
1478,potential applications,0
1479,current future divisional projects,0
1480,programs,1
1481,current emerging techniques,0
1482,technologies,0
1483,fields,0
1484,big data data science data visualization,1
1485,abstracts reports,0
1486,technical memos maps presentations,0
1487,analyses,1
1488,studies,0
1489,summarizes findings,0
1490,static interactive visualizations,1
1491,maps tables graphs charts diagrams,1
1492,graphics,1
1493,best practices,0
1494,transportation analytics,0
1495,big data initiatives,1
1496,academia,0
1497,municipalities,0
1498,levels,0
1499,government,0
1500,briefing notes presentations,0
1501,technical documentation,0
1502,electronic library catalogue,0
1503,applicable research data statistics books periodicals,1
1504,reference material plans,0
1505,pilot studies,0
1506,transportation analytics,0
1507,big data technology software methodologies data management,1
1508,computer systems communication,0
1509,documentation,0
1510,queries routines,0
1511,procedures,0
1512,support,0
1513,initiatives programs,0
1514,day,0
1515,data analytics unit,1
1516,transfer,0
1517,knowledge,0
1518,consistent practices,0
1519,meetings,0
1520,staff,0
1521,preparation,0
1522,presentations,0
1523,stakeholders,0
1524,transportation statistics networks,0
1525,departments divisions,0
1526,different levels,0
1527,government consultants contractors,0
1528,vendors,0
1529,options,0
1530,best solutions,0
1531,liaise,0
1532,inquiries,0
1533,public city staff consultants contractors external government agencies,0
1534,elected officials toronto police service,0
1535,assists,0
1536,procurement,0
1537,services,0
1538,goods,0
1539,preparation,0
1540,request,0
1541,proposals quotations,0
1542,evaluation,0
1543,bids,0
1544,proposals,0
1545,reports,0
1546,preparation,0
1547,budgets,0
1548,tracking,0
1549,expenditures,0
1550,key qualifications post secondary degree,0
1551,diploma,0
1552,civil transportation engineering planning computer science project management,0
1553,relevant experience,0
1554,approved equivalent combination,0
1555,education,0
1557,post graduate degree,0
1558,asset considerable experience,0
1559,research data collection,1
1560,data,1
1561,considerable experience,0
1562,python r sql,1
1563,equivalent tools,1
1564,advanced data analytics interpretation,1
1565,data statistical modelling,1
1566,equivalent tools experience,1
1567,databases,1
1568,data warehousing,1
1569,large datasets experience,1
1570,microsoft office suite,1
1571,e,0
1572,powerpoint access word,1
1574,urban planning traffic engineering,0
1575,transportation planning experience,0
1576,gis geographic information systems,0
1577,spatial analysis,1
1578,machine learning,1
1579,supervised unsupervised learning algorithms pattern recognition artificial neural networks,1
1580,deep learning experience,1
1581,interactive data visualization,1
1582,interactive mapping web development data product dashboard development excellent oral written ability,1
1583,ability,0
1584,research analysis findings,1
1585,effectively strong analytical problem solving organizational skills,0
1586,ability,0
1587,initiative multi task,0
1588,time constraints,0
1589,good judgement ability,0
1590,excellent customer service,0
1591,liaise,0
1592,public contractors,1
1593,staff,0
1594,service areas,0
1595,city,0
1596,toronto employees,0
1597,condition,0
1598,hire,0
1599,accordance,0
1600,city mandatory vaccination policy candidates,0
1601,proof,0
1602,vaccination,0
1603,recruitment process,0
1604,internal full time,0
1605,part time city,0
1606,toronto employees city,0
1607,toronto employees,0
1608,full time part time employment opportunities,0
1609,city internal job,0
1610,portal equity diversity,0
1611,inclusion,0
1612,city,0
1613,equal opportunity employer,0
1614,workplace culture,0
1615,inclusiveness,0
1616,diverse residents,0
1617,city commitment,0
1618,employment equity accommodation,0
1619,city,0
1620,toronto,0
1621,accessible inclusive organization,0
1622,barrier free accessible employment practices,0
1623,compliance,0
1624,accessibility,0
1625,ontarians,0
1626,disabilities,0
1627,aoda,0
1628,code protected accommodation,1
1629,stage,0
1630,recruitment process,0
1631,needs disability related accommodation,0
1632,application process,0
1633,request,0
1634,city hiring policies,0
1635,accommodation process,0
1636,director fleet reliability parts procurement,0
1637,maintenance data analyst,1
1638,service data,1
1639,reliability,0
1640,improvement,0
1641,associated business cases,0
1642,duties,0
1643,responsibilities,0
1644,service reliability data,1
1645,flight level,0
1646,statistics utilization dispatch interruption,1
1647,service time,0
1648,deferrals,0
1649,structural findings,0
1650,service bulletin compliance planning,0
1651,production data work pack,0
1652,task sampling results,0
1653,non routine findings line maintenance data digital workpack releases,0
1654,labour tracking,0
1655,data,1
1656,internal external stakeholders,0
1657,reliability analyst maintenance contracts administrator tech ops managers,0
1658,needed airframe oems monthly quarterly component vendors component pool program engine oem wheels brakes,0
1659,oem,0
1660,needed lessors,0
1661,relevant data,0
1662,analyses,1
1663,technical operations business cases,0
1664,data,1
1665,warranty,0
1666,labour efficiencies,0
1667,design,0
1668,databases,1
1669,processes,0
1670,robust data management,0
1671,business intelligence implementation,1
1672,ad hoc analysis,1
1673,vba codes macros queries,0
1674,application,0
1675,new processes,0
1676,data,1
1677,tableau access,1
1678,data integrity,1
1679,data quality tasks,1
1680,data verification,1
1681,data correction collaborate,1
1682,data oriented teams,1
1683,technical records,0
1684,organization,0
1685,consistency,0
1686,alignment,0
1687,tools,0
1688,processes,0
1689,porter safety management system,0
1690,hazards,0
1691,incidents,0
1692,daily operations,0
1693,company safety policy duties,0
1694,assigned behavioural competencies concern,0
1695,safety,0
1696,hazardous potentially hazardous situations,0
1697,appropriate action,0
1698,safe environment,0
1699,self,0
1700,others,0
1701,teamwork,0
1702,others,0
1703,organizational goals passenger customer service,0
1704,service excellence,0
1705,internal external customers passengers,0
1706,initiative,0
1707,situations,0
1708,issues,0
1710,results,0
1711,focusing efforts,0
1712,high quality results,0
1713,organization standards,0
1714,communication listening,0
1715,communicating,0
1716,different audiences,0
1717,dialogue,0
1718,consensus qualifications,0
1719,post,0
1720,secondary education,0
1721,relevant field,0
1722,previous experience,0
1723,aviation industry,0
1724,asset experience,0
1725,tableau,1
1726,comparable bi tool,0
1727,asset experience,0
1728,data processing software,1
1729,asset proficiency,0
1730,microsoft excel,1
1731,strong organizational skills,0
1732,demonstrated ability,0
1733,deadlines,0
1734,superior written verbal communications skills,0
1735,highly developed interpersonal skills,0
1736,high degree,0
1737,accuracy,0
1738,attention,0
1739,proficiency,0
1740,microsoft office suite,1
1741,mandatory covid vaccination,0
1742,subsidiary miller,0
1743,limited location markham,0
1744,data analyst,1
1745,business intelligence analyst,1
1746,operations,0
1748,senior managers,0
1749,information,0
1750,various tools,0
1751,power,1
1752,bi,0
1753,better business decisions,0
1754,data analyst,1
1755,dashboards,1
1756,senior leaders,0
1757,business teams,0
1758,data trends,1
1759,optimized data models,1
1760,dashboard requirements,1
1761,data,1
1762,enterprise data warehouses,1
1763,key business needs,0
1764,kpis dashboard data metrics,1
1765,dimension requirements,0
1766,data model construction,1
1767,data analysis share solutions,1
1768,broader analytics business intelligence,1
1769,community,0
1770,self learning activities,0
1771,understanding,0
1772,latest power,1
1773,bi capabilities,0
1774,passion,0
1775,big data data science,1
1776,predictive modelling,1
1777,adherence,0
1778,data governance compliance,1
1779,risk policies,0
1780,secondary education,0
1781,technical discipline,0
1782,computer science mathematics statistics engineering information technology,1
1783,management information systems,0
1784,data models,1
1785,business requirements,0
1786,strong attention,0
1787,time,0
1788,highly responsive driven individual,0
1789,demanding work environment experience,0
1790,sql dax pbi,1
1791,required experience,0
1792,data visualization tools,1
1793,power,1
1794,business objects,0
1795,azure stack bi data lake gen azure synapse,1
